married,ch,income,loanamt,status
Yes,1,16667,86,Y
Yes,1,2947,,N
No,1,4350,154,Y
Yes,1,3095,113,Y
Yes,1,2083,128,Y
Yes,1,10833,234,Y
Yes,1,8333,246,Y
Yes,1,1958,131,Y
No,0,3547,80,N
Yes,1,18333,500,N
Yes,1,4583,160,Y
No,1,2435,75,N
No,,2699,96,Y
Yes,,5333,186,Y
No,1,3691,110,Y
No,1,17263,225,Y
Yes,0,3597,119,N
Yes,1,3326,105,Y
Yes,1,2600,107,Y
Yes,,4625,111,Y
Yes,1,2895,95,Y
No,0,6283,209,N
No,1,645,113,Y
No,1,3159,100,Y
Yes,1,4865,208,Y
Yes,,4050,138,N
Yes,1,3814,124,Y
Yes,1,3510,243,Y
Yes,,20833,480,Y
No,1,3583,96,N
Yes,1,2479,188,Y
No,1,13262,40,Y
No,1,3598,100,N
Yes,1,6065,250,Y
Yes,1,3283,148,Y
Yes,1,2130,70,N
No,1,5815,311,N
Yes,1,3466,150,Y
Yes,1,2031,113,Y
Yes,0,3074,123,N
No,1,4683,185,N
No,1,3400,95,N
Yes,1,2192,45,Y
No,1,2500,55,Y
Yes,1,5677,100,Y
Yes,1,7948,480,Y
No,1,4680,,N
Yes,1,17500,400,Y
Yes,1,3775,110,Y
Yes,0,5285,161,Y
No,1,2679,94,Y
No,1,6783,130,Y
Yes,,1025,216,Y
Yes,1,4281,100,Y
No,0,3588,110,N
No,,11250,196,N
No,1,18165,125,Y
No,1,2550,126,Y
Yes,1,6133,324,Y
No,1,3617,107,Y
Yes,1,2917,66,N
Yes,1,6417,157,Y
Yes,1,4608,140,Y
No,0,2138,99,N
No,1,3652,95,Y
Yes,1,2239,128,Y
Yes,,3017,102,Y
Yes,1,2768,155,Y
No,1,3358,80,N
No,1,2526,145,Y
No,0,5000,103,N
Yes,1,2785,110,Y
Yes,0,6633,,N
Yes,1,2492,,Y
Yes,1,3333,158,Y
Yes,0,2454,181,N
Yes,0,3593,132,N
Yes,1,5468,26,Y
No,,2667,84,Y
Yes,1,10139,260,Y
Yes,1,3887,162,Y
Yes,1,4180,182,Y
Yes,1,3675,108,Y
Yes,1,19484,600,Y
Yes,1,5923,211,Y
No,1,5800,132,Y
Yes,0,8799,258,N
Yes,,4467,120,Y
No,1,3333,70,Y
Yes,0,3400,123,N
No,1,2378,9,N
Yes,0,3166,104,N
Yes,1,3417,186,Y
Yes,0,5116,165,N
Yes,1,16666,275,Y
Yes,1,6125,187,N
Yes,1,6406,150,N
Yes,1,3159,108,Y
Yes,0,3087,136,N
No,1,3229,110,Y
Yes,1,1782,107,Y
No,1,3182,161,Y
Yes,1,6540,205,Y
No,1,1836,90,N
Yes,1,3166,36,Y
Yes,,1880,61,N
Yes,0,2787,146,N
Yes,1,4283,172,N
Yes,1,2297,104,Y
No,1,2165,70,Y
No,1,4750,94,Y
Yes,0,2726,106,N
Yes,1,3000,56,Y
Yes,1,6000,205,N
No,1,9357,292,Y
Yes,1,3859,142,Y
Yes,1,16120,260,Y
No,1,3833,110,Y
Yes,1,6383,187,N
No,0,2987,88,N
Yes,1,9963,180,Y
Yes,1,5780,192,Y
No,,416,350,N
Yes,1,2894,155,Y
Yes,1,5703,128,Y
No,1,3676,172,Y
Yes,1,12000,496,Y
Yes,1,2400,,N
Yes,1,3400,173,Y
Yes,1,3987,157,Y
Yes,1,3232,108,Y
No,1,2900,71,Y
Yes,1,4106,40,Y
Yes,1,8072,253,Y
Yes,1,7583,187,Y
No,0,4583,133,N
